Complete Name,Location Name,Parent Location,Location Type,Is a Scrap Location,Is a Return Location,Barcode
Stock/Large Items / Machines/C-159,C-159 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-159
Stock/Large Items / Machines/C-16,"C-16 (Mesin Jahit / Sewing Machine, )",Large Items / Machines,Internal,FALSE,FALSE,LOC-C-16
Stock/Large Items / Machines/C-160,C-160 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-160
Stock/Large Items / Machines/C-161,C-161 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-161
Stock/Large Items / Machines/C-162,C-162 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-162
Stock/Large Items / Machines/C-163,C-163 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-163
Stock/Large Items / Machines/C-164,C-164 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-164
Stock/Large Items / Machines/C-165,C-165 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-165
Stock/Large Items / Machines/C-166,C-166 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-166
Stock/Large Items / Machines/C-167,C-167 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-167
Stock/Large Items / Machines/C-168,C-168 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-168
Stock/Large Items / Machines/C-169,C-169 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-169
Stock/Large Items / Machines/C-17,"C-17 (Mesin Jahit / Sewing Machine, )",Large Items / Machines,Internal,FALSE,FALSE,LOC-C-17
Stock/Large Items / Machines/C-170,C-170 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-170
Stock/Large Items / Machines/C-171,C-171 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-171
Stock/Large Items / Machines/C-172,C-172 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-172
Stock/Large Items / Machines/C-173,C-173 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-173
Stock/Large Items / Machines/C-174,C-174 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-174
Stock/Large Items / Machines/C-175,C-175 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-175
Stock/Large Items / Machines/C-176,C-176 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-176
Stock/Large Items / Machines/C-177,C-177 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-177
Stock/Large Items / Machines/C-178,C-178 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-178
Stock/Large Items / Machines/C-179,C-179 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-179
Stock/Large Items / Machines/C-18,"C-18 (Mesin Jahit / Sewing Machine, )",Large Items / Machines,Internal,FALSE,FALSE,LOC-C-18
Stock/Large Items / Machines/C-180,C-180 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-180
Stock/Large Items / Machines/C-181,C-181 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-181
Stock/Large Items / Machines/C-182,C-182 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-182
Stock/Large Items / Machines/C-183,C-183 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-183
Stock/Large Items / Machines/C-184,C-184 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-184
Stock/Large Items / Machines/C-185,C-185 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-185
Stock/Large Items / Machines/C-186,C-186 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-186
Stock/Large Items / Machines/C-187,C-187 (Mesin Jahit / Sewing Machine),Large Items / Machines,Internal,FALSE,FALSE,LOC-C-187
